{'sales_id': 1597426, 'e_id': 3854, 'store_id': 2733, 'sales': 36, 'item_no': 446, 'city_name': 'Rickhaven'}
{'sales_id': 9769101, 'e_id': 1855, 'store_id': 2027, 'sales': 16, 'item_no': 634, 'city_name': 'East Markmouth'}
{'sales_id': 4793587, 'e_id': 1855, 'store_id': 2027, 'sales': 70, 'item_no': 297, 'city_name': 'West Russellport'}
{'sales_id': 3729845, 'e_id': 1855, 'store_id': 2027, 'sales': 84, 'item_no': 695, 'city_name': 'North Kennethfurt'}
{'sales_id': 4429743, 'e_id': 4190, 'store_id': 2027, 'sales': 7, 'item_no': 56, 'city_name': 'Wrightborough'}
{'sales_id': 3973920, 'e_id': 1855, 'store_id': 2027, 'sales': 8, 'item_no': 986, 'city_name': 'Matthewfort'}
{'sales_id': 1872671, 'e_id': 3854, 'store_id': 2733, 'sales': 35, 'item_no': 661, 'city_name': 'Frederickchester'}
{'sales_id': 5149364, 'e_id': 1855, 'store_id': 2027, 'sales': 3, 'item_no': 965, 'city_name': 'South Jeremy'}
{'sales_id': 641470, 'e_id': 4190, 'store_id': 2027, 'sales': 62, 'item_no': 773, 'city_name': 'Michaelshire'}
{'sales_id': 676439, 'e_id': 4190, 'store_id': 2027, 'sales': 91, 'item_no': 671, 'city_name': 'Lake Krystalbury'}
{'sales_id': 2910074, 'e_id': 8824, 'store_id': 2733, 'sales': 87, 'item_no': 361, 'city_name': 'South Diana'}
{'sales_id': 9490927, 'e_id': 1102, 'store_id': 2733, 'sales': 34, 'item_no': 969, 'city_name': 'South Joebury'}
{'sales_id': 5738211, 'e_id': 3854, 'store_id': 2733, 'sales': 51, 'item_no': 5, 'city_name': 'Paulastad'}
{'sales_id': 3178620, 'e_id': 8824, 'store_id': 2733, 'sales': 53, 'item_no': 98, 'city_name': 'Haileyfurt'}
{'sales_id': 7833855, 'e_id': 3854, 'store_id': 2733, 'sales': 69, 'item_no': 569, 'city_name': 'Lake Rachel'}
{'sales_id': 281993, 'e_id': 4190, 'store_id': 2027, 'sales': 20, 'item_no': 85, 'city_name': 'Lake Mary'}
{'sales_id': 1013791, 'e_id': 8824, 'store_id': 2733, 'sales': 79, 'item_no': 769, 'city_name': 'Bryanland'}
{'sales_id': 2821523, 'e_id': 5756, 'store_id': 2027, 'sales': 99, 'item_no': 289, 'city_name': 'Porterport'}
{'sales_id': 8122858, 'e_id': 8824, 'store_id': 2733, 'sales': 17, 'item_no': 246, 'city_name': 'Hodgesburgh'}
{'sales_id': 6978549, 'e_id': 3854, 'store_id': 2733, 'sales': 51, 'item_no': 677, 'city_name': 'Scottchester'}
{'sales_id': 5585913, 'e_id': 5756, 'store_id': 2027, 'sales': 37, 'item_no': 515, 'city_name': 'Jacobton'}
{'sales_id': 3139693, 'e_id': 1855, 'store_id': 2027, 'sales': 99, 'item_no': 990, 'city_name': 'Lake James'}
{'sales_id': 8680124, 'e_id': 5756, 'store_id': 2027, 'sales': 94, 'item_no': 936, 'city_name': 'Vanessabury'}
{'sales_id': 4356903, 'e_id': 1855, 'store_id': 2027, 'sales': 93, 'item_no': 473, 'city_name': 'Danielport'}
{'sales_id': 1616957, 'e_id': 8824, 'store_id': 2733, 'sales': 5, 'item_no': 471, 'city_name': 'Crystalton'}
{'sales_id': 6556662, 'e_id': 1102, 'store_id': 2733, 'sales': 58, 'item_no': 720, 'city_name': 'Thomasberg'}
{'sales_id': 1079474, 'e_id': 1855, 'store_id': 2027, 'sales': 19, 'item_no': 264, 'city_name': 'New Jason'}
{'sales_id': 8353891, 'e_id': 8824, 'store_id': 2733, 'sales': 28, 'item_no': 495, 'city_name': 'Jacksonport'}
{'sales_id': 3813919, 'e_id': 5756, 'store_id': 2027, 'sales': 63, 'item_no': 243, 'city_name': 'West Robert'}
{'sales_id': 5890585, 'e_id': 5756, 'store_id': 2027, 'sales': 11, 'item_no': 443, 'city_name': 'Douglasborough'}
{'sales_id': 5045537, 'e_id': 4190, 'store_id': 2027, 'sales': 94, 'item_no': 693, 'city_name': 'Lake Deborahburgh'}
{'sales_id': 8910829, 'e_id': 1102, 'store_id': 2733, 'sales': 37, 'item_no': 396, 'city_name': 'Garrisonmouth'}
{'sales_id': 1287519, 'e_id': 4190, 'store_id': 2027, 'sales': 92, 'item_no': 315, 'city_name': 'Cookville'}
{'sales_id': 5609316, 'e_id': 1102, 'store_id': 2733, 'sales': 34, 'item_no': 862, 'city_name': 'New Doris'}
{'sales_id': 8089452, 'e_id': 3854, 'store_id': 2733, 'sales': 31, 'item_no': 918, 'city_name': 'Smithland'}
{'sales_id': 8638347, 'e_id': 1855, 'store_id': 2027, 'sales': 20, 'item_no': 485, 'city_name': 'Robertsstad'}
{'sales_id': 3159645, 'e_id': 3854, 'store_id': 2733, 'sales': 93, 'item_no': 611, 'city_name': 'New Justinbury'}
{'sales_id': 8499702, 'e_id': 1855, 'store_id': 2027, 'sales': 97, 'item_no': 726, 'city_name': 'North Karina'}
{'sales_id': 2111203, 'e_id': 3854, 'store_id': 2733, 'sales': 58, 'item_no': 360, 'city_name': 'South Russell'}
{'sales_id': 44251, 'e_id': 5756, 'store_id': 2027, 'sales': 24, 'item_no': 133, 'city_name': 'New Brianborough'}
{'sales_id': 4065401, 'e_id': 4190, 'store_id': 2027, 'sales': 88, 'item_no': 332, 'city_name': 'West Davidbury'}
{'sales_id': 8655806, 'e_id': 1102, 'store_id': 2733, 'sales': 61, 'item_no': 456, 'city_name': 'New Garrettfort'}
{'sales_id': 5691680, 'e_id': 8824, 'store_id': 2733, 'sales': 68, 'item_no': 212, 'city_name': 'Davidton'}
{'sales_id': 4602925, 'e_id': 8824, 'store_id': 2733, 'sales': 17, 'item_no': 772, 'city_name': 'Martinezside'}
{'sales_id': 1668556, 'e_id': 1102, 'store_id': 2733, 'sales': 87, 'item_no': 544, 'city_name': 'New Barry'}
{'sales_id': 6646727, 'e_id': 1855, 'store_id': 2027, 'sales': 85, 'item_no': 812, 'city_name': 'Jenniferborough'}
{'sales_id': 6855972, 'e_id': 5756, 'store_id': 2027, 'sales': 19, 'item_no': 874, 'city_name': 'Amberton'}
{'sales_id': 4174268, 'e_id': 3854, 'store_id': 2733, 'sales': 62, 'item_no': 547, 'city_name': 'East Gregory'}
{'sales_id': 1472003, 'e_id': 1102, 'store_id': 2733, 'sales': 33, 'item_no': 204, 'city_name': 'East Travis'}
{'sales_id': 3626392, 'e_id': 5756, 'store_id': 2027, 'sales': 83, 'item_no': 899, 'city_name': 'West Evelynfurt'}
{'sales_id': 8551542, 'e_id': 8824, 'store_id': 2733, 'sales': 18, 'item_no': 269, 'city_name': 'South Kevinport'}
{'sales_id': 8245832, 'e_id': 4190, 'store_id': 2027, 'sales': 37, 'item_no': 311, 'city_name': 'New Tiffany'}
{'sales_id': 665671, 'e_id': 5756, 'store_id': 2027, 'sales': 29, 'item_no': 319, 'city_name': 'Danielshire'}
{'sales_id': 554353, 'e_id': 1855, 'store_id': 2027, 'sales': 88, 'item_no': 481, 'city_name': 'New Elizabethfort'}
{'sales_id': 1914461, 'e_id': 5756, 'store_id': 2027, 'sales': 78, 'item_no': 328, 'city_name': 'Kimhaven'}
{'sales_id': 6602982, 'e_id': 1102, 'store_id': 2733, 'sales': 42, 'item_no': 197, 'city_name': 'Kathrynville'}
{'sales_id': 2922182, 'e_id': 5756, 'store_id': 2027, 'sales': 42, 'item_no': 283, 'city_name': 'Wallacestad'}
{'sales_id': 7721404, 'e_id': 3854, 'store_id': 2733, 'sales': 66, 'item_no': 850, 'city_name': 'Mitchellshire'}
{'sales_id': 2982244, 'e_id': 8824, 'store_id': 2733, 'sales': 91, 'item_no': 94, 'city_name': 'Lake Alicia'}
{'sales_id': 9152409, 'e_id': 1102, 'store_id': 2733, 'sales': 66, 'item_no': 42, 'city_name': 'New Brent'}
{'sales_id': 8933874, 'e_id': 8824, 'store_id': 2733, 'sales': 21, 'item_no': 818, 'city_name': 'Lake Markchester'}
{'sales_id': 8770574, 'e_id': 1102, 'store_id': 2733, 'sales': 81, 'item_no': 72, 'city_name': 'Williamport'}
{'sales_id': 5654718, 'e_id': 3854, 'store_id': 2733, 'sales': 38, 'item_no': 886, 'city_name': 'New Matthewtown'}
{'sales_id': 698094, 'e_id': 4190, 'store_id': 2027, 'sales': 44, 'item_no': 372, 'city_name': 'Port Justin'}
{'sales_id': 6874826, 'e_id': 3854, 'store_id': 2733, 'sales': 40, 'item_no': 877, 'city_name': 'Port Jessica'}
{'sales_id': 6165598, 'e_id': 5756, 'store_id': 2027, 'sales': 16, 'item_no': 525, 'city_name': 'Fordmouth'}
{'sales_id': 2523626, 'e_id': 3854, 'store_id': 2733, 'sales': 86, 'item_no': 857, 'city_name': 'West Ashley'}
{'sales_id': 6056172, 'e_id': 8824, 'store_id': 2733, 'sales': 28, 'item_no': 869, 'city_name': 'Tonyaside'}
{'sales_id': 924559, 'e_id': 1855, 'store_id': 2027, 'sales': 45, 'item_no': 154, 'city_name': 'Michaelbury'}
{'sales_id': 1634346, 'e_id': 4190, 'store_id': 2027, 'sales': 14, 'item_no': 697, 'city_name': 'New Jennifer'}
{'sales_id': 1105107, 'e_id': 3854, 'store_id': 2733, 'sales': 11, 'item_no': 299, 'city_name': 'North Barbara'}
{'sales_id': 5050269, 'e_id': 1102, 'store_id': 2733, 'sales': 64, 'item_no': 44, 'city_name': 'East Ashleyhaven'}
{'sales_id': 7442513, 'e_id': 5756, 'store_id': 2027, 'sales': 48, 'item_no': 54, 'city_name': 'Angelicashire'}
{'sales_id': 9326926, 'e_id': 3854, 'store_id': 2733, 'sales': 56, 'item_no': 833, 'city_name': 'Jonathanstad'}
{'sales_id': 7708086, 'e_id': 5756, 'store_id': 2027, 'sales': 64, 'item_no': 906, 'city_name': 'South Brandiberg'}
{'sales_id': 5882355, 'e_id': 3854, 'store_id': 2733, 'sales': 39, 'item_no': 263, 'city_name': 'East Marioside'}
{'sales_id': 4372644, 'e_id': 1855, 'store_id': 2027, 'sales': 31, 'item_no': 568, 'city_name': 'Lake Ashley'}
{'sales_id': 7438293, 'e_id': 3854, 'store_id': 2733, 'sales': 47, 'item_no': 758, 'city_name': 'East Travis'}
{'sales_id': 4325100, 'e_id': 3854, 'store_id': 2733, 'sales': 88, 'item_no': 427, 'city_name': 'South Davidchester'}
{'sales_id': 8404727, 'e_id': 4190, 'store_id': 2027, 'sales': 39, 'item_no': 231, 'city_name': 'Karinafort'}
{'sales_id': 2807675, 'e_id': 5756, 'store_id': 2027, 'sales': 4, 'item_no': 230, 'city_name': 'South Stephenhaven'}
{'sales_id': 7912050, 'e_id': 4190, 'store_id': 2027, 'sales': 62, 'item_no': 463, 'city_name': 'South James'}
{'sales_id': 4517883, 'e_id': 1102, 'store_id': 2733, 'sales': 55, 'item_no': 828, 'city_name': 'Andrewburgh'}
{'sales_id': 1928708, 'e_id': 5756, 'store_id': 2027, 'sales': 41, 'item_no': 186, 'city_name': 'Port Melissaview'}
{'sales_id': 6004685, 'e_id': 1855, 'store_id': 2027, 'sales': 11, 'item_no': 242, 'city_name': 'East Sarah'}
{'sales_id': 7092630, 'e_id': 8824, 'store_id': 2733, 'sales': 46, 'item_no': 114, 'city_name': 'Port Donaldstad'}
{'sales_id': 7373872, 'e_id': 3854, 'store_id': 2733, 'sales': 38, 'item_no': 944, 'city_name': 'Tinaville'}
{'sales_id': 3940667, 'e_id': 1102, 'store_id': 2733, 'sales': 38, 'item_no': 568, 'city_name': 'Erinberg'}
{'sales_id': 3476998, 'e_id': 1102, 'store_id': 2733, 'sales': 59, 'item_no': 390, 'city_name': 'North Taraview'}
{'sales_id': 5680920, 'e_id': 1102, 'store_id': 2733, 'sales': 34, 'item_no': 586, 'city_name': 'North Jesse'}
{'sales_id': 2175414, 'e_id': 3854, 'store_id': 2733, 'sales': 93, 'item_no': 431, 'city_name': 'West Brianburgh'}
{'sales_id': 477017, 'e_id': 8824, 'store_id': 2733, 'sales': 42, 'item_no': 851, 'city_name': 'North Michaelmouth'}
{'sales_id': 7094570, 'e_id': 8824, 'store_id': 2733, 'sales': 40, 'item_no': 268, 'city_name': 'Emmaside'}
{'sales_id': 4870445, 'e_id': 4190, 'store_id': 2027, 'sales': 89, 'item_no': 296, 'city_name': 'Lake Daniel'}
{'sales_id': 7356147, 'e_id': 3854, 'store_id': 2733, 'sales': 43, 'item_no': 610, 'city_name': 'East Brittanytown'}
{'sales_id': 1560703, 'e_id': 1855, 'store_id': 2027, 'sales': 55, 'item_no': 819, 'city_name': 'Johnsonton'}
{'sales_id': 6989316, 'e_id': 4190, 'store_id': 2027, 'sales': 57, 'item_no': 192, 'city_name': 'New Carlybury'}
{'sales_id': 2950711, 'e_id': 8824, 'store_id': 2733, 'sales': 32, 'item_no': 390, 'city_name': 'West Philliptown'}
{'sales_id': 3917649, 'e_id': 1855, 'store_id': 2027, 'sales': 37, 'item_no': 537, 'city_name': 'Thomasland'}
{'sales_id': 2395978, 'e_id': 1855, 'store_id': 2027, 'sales': 28, 'item_no': 213, 'city_name': 'Kellyport'}
{'sales_id': 9675988, 'e_id': 1102, 'store_id': 2733, 'sales': 65, 'item_no': 546, 'city_name': 'North Anna'}
{'sales_id': 9146643, 'e_id': 1102, 'store_id': 2733, 'sales': 93, 'item_no': 589, 'city_name': 'Port Jeffreyland'}
{'sales_id': 1914114, 'e_id': 3854, 'store_id': 2733, 'sales': 38, 'item_no': 8, 'city_name': 'West Erica'}
{'sales_id': 7414500, 'e_id': 1855, 'store_id': 2027, 'sales': 3, 'item_no': 680, 'city_name': 'Trevinoville'}
{'sales_id': 6467203, 'e_id': 3854, 'store_id': 2733, 'sales': 70, 'item_no': 583, 'city_name': 'Austinview'}
{'sales_id': 8284552, 'e_id': 1102, 'store_id': 2733, 'sales': 93, 'item_no': 463, 'city_name': 'New Amy'}
{'sales_id': 2904772, 'e_id': 3854, 'store_id': 2733, 'sales': 50, 'item_no': 221, 'city_name': 'Abigailmouth'}
{'sales_id': 8676614, 'e_id': 5756, 'store_id': 2027, 'sales': 9, 'item_no': 963, 'city_name': 'North Robert'}
{'sales_id': 6621574, 'e_id': 4190, 'store_id': 2027, 'sales': 29, 'item_no': 582, 'city_name': 'Santoschester'}
{'sales_id': 1432857, 'e_id': 4190, 'store_id': 2027, 'sales': 69, 'item_no': 119, 'city_name': 'Daltontown'}
{'sales_id': 1334646, 'e_id': 4190, 'store_id': 2027, 'sales': 41, 'item_no': 912, 'city_name': 'Port Amanda'}
{'sales_id': 801712, 'e_id': 4190, 'store_id': 2027, 'sales': 78, 'item_no': 730, 'city_name': 'South Steven'}
{'sales_id': 9999900, 'e_id': 1102, 'store_id': 2733, 'sales': 96, 'item_no': 19, 'city_name': 'South Anthonybury'}
{'sales_id': 2734164, 'e_id': 8824, 'store_id': 2733, 'sales': 20, 'item_no': 924, 'city_name': 'North Amytown'}
{'sales_id': 1623198, 'e_id': 5756, 'store_id': 2027, 'sales': 41, 'item_no': 639, 'city_name': 'North Christopher'}
{'sales_id': 407173, 'e_id': 4190, 'store_id': 2027, 'sales': 18, 'item_no': 58, 'city_name': 'Romanside'}
{'sales_id': 7330473, 'e_id': 3854, 'store_id': 2733, 'sales': 39, 'item_no': 19, 'city_name': 'Millerville'}
{'sales_id': 7809918, 'e_id': 5756, 'store_id': 2027, 'sales': 74, 'item_no': 444, 'city_name': 'Port Vanessashire'}
{'sales_id': 9798560, 'e_id': 3854, 'store_id': 2733, 'sales': 28, 'item_no': 640, 'city_name': 'Stevenfort'}
{'sales_id': 6539702, 'e_id': 8824, 'store_id': 2733, 'sales': 33, 'item_no': 366, 'city_name': 'South Anne'}
{'sales_id': 7089956, 'e_id': 4190, 'store_id': 2027, 'sales': 80, 'item_no': 248, 'city_name': 'Noblemouth'}
{'sales_id': 5952966, 'e_id': 5756, 'store_id': 2027, 'sales': 70, 'item_no': 96, 'city_name': 'South Savannah'}
{'sales_id': 1505849, 'e_id': 1855, 'store_id': 2027, 'sales': 73, 'item_no': 699, 'city_name': 'East Katherinechester'}
{'sales_id': 4149536, 'e_id': 4190, 'store_id': 2027, 'sales': 99, 'item_no': 867, 'city_name': 'Haileyland'}
{'sales_id': 4537316, 'e_id': 1855, 'store_id': 2027, 'sales': 97, 'item_no': 32, 'city_name': 'Snydertown'}
{'sales_id': 7753528, 'e_id': 8824, 'store_id': 2733, 'sales': 0, 'item_no': 448, 'city_name': 'Lake Phillipchester'}
{'sales_id': 1749918, 'e_id': 4190, 'store_id': 2027, 'sales': 53, 'item_no': 884, 'city_name': 'Martinezville'}
{'sales_id': 4562244, 'e_id': 3854, 'store_id': 2733, 'sales': 56, 'item_no': 465, 'city_name': 'New Brandy'}
{'sales_id': 5809542, 'e_id': 1102, 'store_id': 2733, 'sales': 47, 'item_no': 491, 'city_name': 'Michelleburgh'}
{'sales_id': 9875984, 'e_id': 8824, 'store_id': 2733, 'sales': 21, 'item_no': 661, 'city_name': 'Lynchburgh'}
{'sales_id': 4360760, 'e_id': 4190, 'store_id': 2027, 'sales': 4, 'item_no': 497, 'city_name': 'Nicoleburgh'}
{'sales_id': 2164776, 'e_id': 8824, 'store_id': 2733, 'sales': 21, 'item_no': 237, 'city_name': 'Pattersonburgh'}
{'sales_id': 6224957, 'e_id': 1102, 'store_id': 2733, 'sales': 78, 'item_no': 474, 'city_name': 'Brownborough'}
{'sales_id': 4428855, 'e_id': 1855, 'store_id': 2027, 'sales': 82, 'item_no': 655, 'city_name': 'Angelmouth'}
{'sales_id': 9072247, 'e_id': 4190, 'store_id': 2027, 'sales': 56, 'item_no': 182, 'city_name': 'Andrewchester'}
{'sales_id': 1830712, 'e_id': 1855, 'store_id': 2027, 'sales': 79, 'item_no': 6, 'city_name': 'North Melanie'}
{'sales_id': 1341448, 'e_id': 5756, 'store_id': 2027, 'sales': 78, 'item_no': 78, 'city_name': 'Jasonmouth'}
{'sales_id': 4991701, 'e_id': 3854, 'store_id': 2733, 'sales': 95, 'item_no': 744, 'city_name': 'North Larryport'}
{'sales_id': 9773958, 'e_id': 1855, 'store_id': 2027, 'sales': 53, 'item_no': 247, 'city_name': 'Lake Tiffanymouth'}
{'sales_id': 5655870, 'e_id': 1855, 'store_id': 2027, 'sales': 35, 'item_no': 591, 'city_name': 'Port Michealview'}
{'sales_id': 4317468, 'e_id': 8824, 'store_id': 2733, 'sales': 69, 'item_no': 356, 'city_name': 'Port Michaelhaven'}
{'sales_id': 4632801, 'e_id': 3854, 'store_id': 2733, 'sales': 72, 'item_no': 323, 'city_name': 'Keithport'}
{'sales_id': 2289685, 'e_id': 3854, 'store_id': 2733, 'sales': 60, 'item_no': 108, 'city_name': 'New Charles'}
{'sales_id': 6741457, 'e_id': 1102, 'store_id': 2733, 'sales': 38, 'item_no': 766, 'city_name': 'Lake Joel'}
{'sales_id': 1514518, 'e_id': 4190, 'store_id': 2027, 'sales': 50, 'item_no': 712, 'city_name': 'New Kristen'}
{'sales_id': 6255550, 'e_id': 3854, 'store_id': 2733, 'sales': 91, 'item_no': 938, 'city_name': 'Richmouth'}
{'sales_id': 3447715, 'e_id': 3854, 'store_id': 2733, 'sales': 88, 'item_no': 614, 'city_name': 'South Hollyborough'}
{'sales_id': 8919076, 'e_id': 3854, 'store_id': 2733, 'sales': 19, 'item_no': 689, 'city_name': 'South Lisashire'}
{'sales_id': 99903, 'e_id': 1855, 'store_id': 2027, 'sales': 83, 'item_no': 781, 'city_name': 'Hillchester'}
{'sales_id': 7439740, 'e_id': 3854, 'store_id': 2733, 'sales': 74, 'item_no': 264, 'city_name': 'New Darylhaven'}
{'sales_id': 7920683, 'e_id': 8824, 'store_id': 2733, 'sales': 38, 'item_no': 190, 'city_name': 'Lake Brandon'}
{'sales_id': 2389712, 'e_id': 1855, 'store_id': 2027, 'sales': 56, 'item_no': 85, 'city_name': 'Cardenasport'}
{'sales_id': 476773, 'e_id': 8824, 'store_id': 2733, 'sales': 0, 'item_no': 179, 'city_name': 'Port Margaret'}
{'sales_id': 7253119, 'e_id': 4190, 'store_id': 2027, 'sales': 13, 'item_no': 120, 'city_name': 'Carolfort'}
{'sales_id': 6820766, 'e_id': 1855, 'store_id': 2027, 'sales': 94, 'item_no': 225, 'city_name': 'East Tiffanyshire'}
{'sales_id': 4492210, 'e_id': 4190, 'store_id': 2027, 'sales': 42, 'item_no': 832, 'city_name': 'New Patricia'}
{'sales_id': 7857961, 'e_id': 3854, 'store_id': 2733, 'sales': 64, 'item_no': 561, 'city_name': 'Patriciaburgh'}
{'sales_id': 9969910, 'e_id': 1855, 'store_id': 2027, 'sales': 44, 'item_no': 354, 'city_name': 'Andrewtown'}
{'sales_id': 4547187, 'e_id': 5756, 'store_id': 2027, 'sales': 91, 'item_no': 346, 'city_name': 'Perezmouth'}
{'sales_id': 2406383, 'e_id': 8824, 'store_id': 2733, 'sales': 88, 'item_no': 526, 'city_name': 'Foxbury'}
{'sales_id': 3665027, 'e_id': 5756, 'store_id': 2027, 'sales': 16, 'item_no': 776, 'city_name': 'New Ashleybury'}
{'sales_id': 4102334, 'e_id': 8824, 'store_id': 2733, 'sales': 56, 'item_no': 603, 'city_name': 'Evansmouth'}
{'sales_id': 6038462, 'e_id': 5756, 'store_id': 2027, 'sales': 84, 'item_no': 958, 'city_name': 'Andreahaven'}
{'sales_id': 6046006, 'e_id': 8824, 'store_id': 2733, 'sales': 8, 'item_no': 821, 'city_name': 'Port Amy'}
{'sales_id': 9802657, 'e_id': 8824, 'store_id': 2733, 'sales': 94, 'item_no': 500, 'city_name': 'Lake Brian'}
