('5639', '8209', '3', '3768232')
('5639', '8209', '9', '3289101')
('5639', '8209', '4', '1620675')
('3464', '2850', '2', '5718136')
('3464', '2630', '2', '1366751')
('3464', '2850', '10', '9964120')
('5639', '5345', '6', '4582743')
('5639', '5345', '2', '3890516')
('5639', '5345', '8', '4597364')
('3464', '2189', '8', '1966171')
('3464', '2630', '4', '4714095')
('3464', '2189', '10', '5143347')
('5639', '8209', '8', '8077061')
('5639', '2907', '2', '8097575')
('5639', '5345', '5', '5230164')
('5639', '8209', '8', '3673303')
('3464', '2850', '7', '9287383')
('5639', '2907', '5', '565199')
('3464', '2189', '7', '6769891')
('3464', '2850', '7', '4613176')
('3464', '2189', '2', '1547153')
('3464', '2850', '10', '8293468')
('3464', '2630', '5', '4568739')
('3464', '2850', '5', '1522217')
('3464', '2189', '7', '7731357')
('3464', '2850', '3', '6552132')
('3464', '2630', '7', '671297')
('3464', '2189', '1', '2993773')
('3464', '2630', '10', '9394802')
('3464', '2189', '1', '9910003')
('5639', '5345', '7', '6842568')
('5639', '8209', '4', '54888')
('5639', '2907', '7', '546320')
('5639', '5345', '5', '3371564')
('5639', '2907', '10', '8776674')
('3464', '2850', '5', '7843027')
('3464', '2850', '9', '4589687')
('3464', '2850', '4', '7320440')
('3464', '2850', '2', '8049851')
('5639', '8209', '9', '8136063')
('3464', '2189', '9', '7580941')
('5639', '5345', '9', '3823484')
('5639', '5345', '6', '9439600')
('3464', '2630', '2', '8205905')
('3464', '2630', '9', '9287160')
('3464', '2630', '7', '7055298')
('5639', '5345', '6', '4303332')
('3464', '2189', '8', '6346101')
('5639', '8209', '3', '597562')
('3464', '2189', '1', '4643708')
('5639', '8209', '8', '7590079')
('3464', '2189', '1', '2646435')
('5639', '5345', '1', '9426537')
('5639', '8209', '2', '2078688')
('5639', '2907', '10', '316334')
('3464', '2189', '9', '7146904')
('5639', '5345', '10', '6129354')
('5639', '2907', '6', '3781994')
('5639', '2907', '7', '679757')
('3464', '2850', '2', '4189897')
('5639', '2907', '6', '3251612')
('3464', '2630', '8', '4272032')
('5639', '2907', '10', '5859411')
('3464', '2630', '10', '2568011')
('5639', '5345', '5', '3175881')
('5639', '2907', '7', '8180190')
('5639', '2907', '10', '188659')
('5639', '2907', '10', '6885201')
('5639', '8209', '7', '631025')
('3464', '2189', '4', '9069886')
('5639', '8209', '5', '4424833')
('3464', '2189', '7', '2911529')
('5639', '8209', '1', '8857440')
('5639', '8209', '1', '2420525')
('5639', '8209', '9', '8732451')
('3464', '2630', '2', '214254')
('5639', '8209', '10', '3732477')
('3464', '2850', '8', '8394835')
('5639', '2907', '5', '1669588')
('5639', '8209', '1', '2471249')
('5639', '5345', '4', '580385')
('3464', '2630', '8', '469543')
('5639', '5345', '4', '3346763')
('5639', '8209', '8', '6586150')
('5639', '5345', '3', '8619005')
('5639', '8209', '4', '8356937')
('5639', '2907', '3', '8606904')
('3464', '2850', '7', '802290')
('3464', '2630', '7', '6882761')
('3464', '2189', '8', '5537355')
('3464', '2630', '2', '3282563')
('3464', '2850', '9', '3828887')
('5639', '8209', '2', '1639400')
('5639', '5345', '7', '6768603')
('3464', '2630', '4', '3818470')
('3464', '2630', '4', '940955')
('5639', '2907', '3', '4139249')
('3464', '2850', '3', '4291104')
('5639', '5345', '2', '9717585')
('5639', '5345', '6', '3676691')
('3464', '2189', '8', '3257191')
('5639', '8209', '8', '2950152')
('5639', '5345', '6', '5268346')
('3464', '2850', '10', '9993368')
('5639', '2907', '3', '9993584')
('3464', '2850', '8', '3193647')
('3464', '2189', '2', '3683991')
('5639', '2907', '2', '4074155')
('5639', '2907', '5', '2230448')
('5639', '8209', '8', '2934822')
('5639', '2907', '3', '1153787')
('5639', '5345', '9', '6570340')
('5639', '5345', '6', '2728719')
('3464', '2850', '4', '1803249')
('5639', '2907', '5', '362751')
('5639', '5345', '1', '4686947')
('5639', '8209', '7', '2605287')
('5639', '2907', '6', '5655485')
('5639', '2907', '1', '3842822')
('5639', '8209', '4', '8054578')
('3464', '2630', '3', '4271549')
('3464', '2189', '5', '1580258')
('5639', '2907', '7', '9777603')
('3464', '2189', '3', '2011614')
('5639', '5345', '2', '4176609')
('3464', '2850', '9', '5609418')
('5639', '8209', '8', '7661922')
('3464', '2189', '6', '5955838')
('5639', '8209', '8', '6047539')
('3464', '2189', '1', '7936902')
('3464', '2850', '4', '2414589')
('5639', '8209', '8', '3986006')
('5639', '2907', '8', '9089197')
('3464', '2189', '10', '8005279')
('3464', '2630', '3', '5430511')
('3464', '2630', '7', '857757')
('5639', '2907', '5', '7127435')
('3464', '2850', '7', '2601676')
('3464', '2850', '3', '6511636')
('5639', '5345', '9', '1606361')
('5639', '8209', '2', '8232308')
('5639', '8209', '8', '927283')
('5639', '8209', '2', '8667334')
('5639', '8209', '10', '1526697')
('3464', '2630', '8', '5024220')
('3464', '2850', '8', '4267729')
('3464', '2850', '9', '9808398')
('3464', '2850', '10', '9112851')
('5639', '8209', '4', '1525021')
('5639', '5345', '5', '85736')
('3464', '2189', '4', '8655809')
('3464', '2630', '1', '4932537')
('5639', '2907', '4', '7706987')
('3464', '2850', '4', '2702132')
('5639', '8209', '7', '6729737')
('5639', '5345', '8', '1906063')
('5639', '5345', '5', '2151392')
('3464', '2189', '3', '8310026')
('3464', '2189', '3', '3775009')
('5639', '5345', '8', '2677134')
('3464', '2850', '8', '1557163')
('5639', '2907', '1', '6306400')
('5639', '5345', '3', '914450')
('3464', '2630', '2', '5862503')
('5639', '2907', '10', '5070606')
('5639', '2907', '9', '5090902')
('5639', '2907', '6', '3222913')
('3464', '2189', '6', '2946155')
('5639', '8209', '7', '8842871')
('5639', '8209', '2', '5635506')
('3464', '2189', '1', '7709697')
('3464', '2850', '6', '345906')
('3464', '2850', '6', '2874333')
('3464', '2850', '4', '414944')
('3464', '2850', '4', '9431394')
('5639', '2907', '6', '5940084')
('3464', '2850', '1', '6025729')
('3464', '2850', '9', '7957986')
('5639', '5345', '5', '5683892')
('5639', '2907', '5', '3926616')
('3464', '2189', '9', '695125')
('5639', '8209', '1', '6949552')
('5639', '5345', '3', '7176017')
('5639', '5345', '3', '1186503')
('5639', '5345', '10', '8951835')
('5639', '2907', '5', '1940257')
('5639', '2907', '4', '8538606')
('3464', '2850', '4', '9214170')
('3464', '2850', '4', '6747083')
('5639', '2907', '4', '4011727')
('3464', '2189', '6', '2690209')
('5639', '5345', '3', '1759225')
('5639', '5345', '7', '6313863')
('3464', '2189', '9', '7776955')
('5639', '8209', '6', '3438491')
('3464', '2189', '6', '5557540')
('3464', '2850', '1', '9956165')
('3464', '2189', '2', '2148190')
('3464', '2189', '2', '9194671')
('3464', '2850', '10', '7595420')
('5639', '5345', '10', '8304654')
('3464', '2189', '1', '8114584')
('3464', '2189', '6', '199478')
('5639', '8209', '1', '6199922')
('3464', '2189', '4', '5199656')
('5639', '2907', '5', '8404348')
('3464', '2630', '10', '1425978')
('5639', '2907', '7', '5351722')
('3464', '2850', '8', '1979154')
('5639', '8209', '9', '5653909')
('3464', '2189', '5', '7287569')
('3464', '2630', '7', '1266848')
('3464', '2850', '1', '815624')
('3464', '2189', '3', '62795')
('5639', '5345', '6', '754699')
('3464', '2850', '1', '7527185')
('3464', '2189', '5', '3246812')
('3464', '2850', '2', '7822065')
('5639', '5345', '5', '7589172')
('3464', '2189', '4', '2962909')
('5639', '2907', '9', '5850993')
('5639', '5345', '6', '7643238')
('5639', '5345', '1', '5285647')
('3464', '2630', '3', '8377732')
('3464', '2630', '7', '9778690')
('5639', '8209', '6', '825562')
('3464', '2630', '2', '8951060')
('3464', '2630', '8', '7033244')
('5639', '5345', '5', '4464499')
('5639', '5345', '5', '6867214')
('3464', '2850', '2', '6636135')
('5639', '5345', '1', '9200042')
('3464', '2850', '4', '3200090')
('5639', '8209', '7', '5280456')
('5639', '2907', '7', '3379187')
('5639', '8209', '3', '350276')
('5639', '2907', '8', '3186733')
('3464', '2630', '3', '2039591')
('3464', '2189', '10', '2192049')
('3464', '2850', '5', '7372187')
('5639', '2907', '1', '3806827')
('3464', '2189', '3', '4900916')
('5639', '8209', '9', '5202835')
('3464', '2850', '9', '456395')
('3464', '2630', '2', '7184611')
('5639', '8209', '2', '6265417')
('5639', '8209', '5', '9085027')
('5639', '8209', '6', '9278620')
('3464', '2630', '1', '3086699')
('5639', '5345', '10', '1405421')
('3464', '2189', '5', '8472578')
('5639', '5345', '4', '8360511')
('5639', '2907', '10', '6543863')
('3464', '2630', '10', '5620654')
('5639', '5345', '1', '9474951')
('5639', '2907', '5', '9195485')
('3464', '2850', '8', '1013639')
('3464', '2189', '8', '2040196')
('5639', '2907', '2', '8240767')
('3464', '2630', '9', '7429927')
('3464', '2189', '1', '545220')
('5639', '8209', '8', '5246949')
('3464', '2630', '5', '7574812')
('5639', '2907', '6', '9248900')
('5639', '2907', '10', '6635787')
('3464', '2850', '9', '2786495')
('5639', '5345', '2', '331034')
('5639', '8209', '1', '7193661')
('3464', '2850', '5', '8395838')
('5639', '8209', '4', '9299433')
('3464', '2630', '4', '7729032')
('5639', '8209', '4', '6443808')
('5639', '8209', '9', '925083')
('5639', '2907', '5', '6004797')
('3464', '2630', '6', '2138469')
('3464', '2189', '1', '593036')
('3464', '2630', '3', '6828082')
('3464', '2189', '4', '591837')
('3464', '2189', '1', '7114246')
('5639', '8209', '7', '318468')
('5639', '8209', '3', '4667811')
('5639', '8209', '2', '8245359')
('3464', '2630', '6', '8823449')
('5639', '2907', '9', '6582476')
('5639', '8209', '3', '2782583')
('5639', '8209', '8', '6185431')
('3464', '2630', '3', '1020701')
('3464', '2189', '4', '189204')
('3464', '2189', '3', '2584225')
('3464', '2630', '2', '5745789')
('5639', '5345', '8', '5535597')
('5639', '8209', '5', '2879021')
('5639', '2907', '4', '5231260')
('3464', '2850', '7', '8946710')
('5639', '5345', '4', '4846738')
('5639', '8209', '1', '3013003')
('3464', '2850', '6', '5644931')
('5639', '8209', '4', '7169576')
('5639', '2907', '9', '670485')
('5639', '5345', '1', '262375')
('3464', '2189', '3', '2253911')
('3464', '2850', '10', '8779071')
('5639', '8209', '2', '7586167')
('3464', '2189', '4', '5577433')
('3464', '2189', '6', '8300740')
('5639', '5345', '7', '587326')
('3464', '2850', '7', '1357914')
('5639', '5345', '1', '4075540')
('3464', '2630', '2', '1921460')
('5639', '2907', '1', '4785659')
('3464', '2850', '4', '9913070')
('5639', '2907', '10', '2597348')
('5639', '2907', '8', '3213595')
('5639', '2907', '7', '9054052')
('3464', '2850', '5', '9478839')
('5639', '5345', '9', '738428')
('3464', '2850', '9', '7171252')
('5639', '8209', '5', '3995885')
('3464', '2630', '2', '5771077')
('3464', '2850', '6', '1740746')
('3464', '2189', '4', '5171578')
('3464', '2189', '1', '8823397')
('3464', '2850', '3', '315883')
('5639', '2907', '3', '9834574')
('5639', '5345', '7', '2891398')
('3464', '2630', '8', '4027075')
('5639', '8209', '7', '8212085')
('3464', '2189', '10', '682553')
('3464', '2630', '6', '698740')
('5639', '2907', '2', '6135651')
('3464', '2630', '10', '310991')
('3464', '2630', '6', '135503')
('5639', '2907', '10', '4580354')
('3464', '2189', '3', '4824131')
('5639', '5345', '7', '3455519')
('3464', '2630', '6', '7566040')
('3464', '2850', '5', '3757233')
('3464', '2630', '5', '1439934')
('5639', '5345', '2', '2735968')
('3464', '2630', '7', '2790254')
('5639', '2907', '10', '9289775')
('5639', '8209', '4', '5840141')
('3464', '2850', '10', '8232497')
('3464', '2630', '8', '1567095')
('3464', '2189', '1', '2012688')
('5639', '2907', '9', '1757888')
('3464', '2850', '8', '7271512')
('5639', '2907', '4', '7454796')
('5639', '5345', '3', '3031033')
('5639', '2907', '2', '4333504')
('5639', '2907', '5', '7264800')
('3464', '2850', '9', '5627882')
('5639', '2907', '1', '1912663')
('3464', '2850', '10', '6207277')
('5639', '2907', '7', '6632647')
('5639', '5345', '8', '3251871')
('5639', '2907', '8', '4037283')
('3464', '2850', '2', '2942166')
('5639', '5345', '5', '1910671')
('3464', '2630', '5', '6678140')
('3464', '2850', '7', '3152327')
('5639', '2907', '4', '7246896')
('5639', '8209', '5', '4925028')
('5639', '2907', '10', '4464426')
('3464', '2630', '3', '744662')
('3464', '2630', '1', '2201091')
('3464', '2189', '7', '725851')
('3464', '2630', '7', '4364306')
('5639', '2907', '7', '1416827')
('5639', '8209', '7', '923430')
('5639', '5345', '4', '4931531')
('5639', '5345', '6', '2829388')
('3464', '2630', '5', '510784')
('3464', '2189', '6', '2766043')
('3464', '2189', '3', '235154')
('5639', '2907', '4', '6379739')
('3464', '2850', '6', '4273162')
('5639', '5345', '5', '6638636')
('3464', '2850', '5', '6176154')
('3464', '2189', '8', '621316')
('5639', '8209', '1', '5285311')
('5639', '8209', '9', '2511673')
('3464', '2189', '10', '4621009')
('5639', '5345', '6', '6605868')
('5639', '8209', '9', '3784182')
('5639', '2907', '2', '8125677')
('3464', '2630', '9', '1955276')
('5639', '2907', '5', '4404002')
('3464', '2630', '9', '2177124')
('5639', '5345', '1', '9515656')
('5639', '8209', '8', '1254234')
('5639', '8209', '3', '2351124')
('5639', '5345', '9', '8342510')
('5639', '8209', '8', '5944661')
('5639', '5345', '5', '6219904')
('5639', '8209', '4', '624076')
('5639', '8209', '6', '1748191')
('5639', '2907', '9', '1518002')
('5639', '8209', '9', '344428')
('5639', '5345', '3', '6012492')
('3464', '2630', '2', '6915936')
('5639', '5345', '7', '1107644')
('3464', '2630', '6', '5835508')
('5639', '8209', '6', '8215093')
('3464', '2850', '10', '234344')
('3464', '2189', '7', '414907')
('5639', '5345', '1', '422185')
('3464', '2630', '4', '1260683')
('5639', '5345', '8', '6161395')
('3464', '2630', '1', '5841935')
('3464', '2850', '8', '5558851')
('5639', '2907', '9', '880943')
('3464', '2850', '7', '9040307')
('3464', '2630', '6', '3976768')
('3464', '2630', '6', '1384886')
('3464', '2850', '8', '7656296')
('5639', '8209', '2', '488361')
('3464', '2630', '2', '1654629')
('3464', '2189', '10', '2388177')
('5639', '8209', '3', '8128258')
('5639', '5345', '4', '4285386')
('5639', '2907', '2', '3502309')
('5639', '8209', '7', '8180003')
('5639', '8209', '4', '1241107')
('3464', '2850', '2', '6613962')
('5639', '5345', '6', '2991565')
('5639', '8209', '2', '9780314')
('5639', '5345', '6', '763911')
('5639', '8209', '5', '163543')
('5639', '8209', '9', '7511651')
('3464', '2189', '9', '9166468')
('5639', '8209', '2', '413041')
('5639', '8209', '2', '6727783')
('3464', '2850', '8', '8260948')
('3464', '2630', '4', '6420206')
('3464', '2189', '1', '1611965')
('3464', '2630', '9', '2972700')
('3464', '2630', '5', '3501605')
('3464', '2630', '7', '8437346')
('3464', '2189', '7', '2549825')
('3464', '2189', '4', '5316519')
('3464', '2189', '6', '5913112')
('3464', '2630', '5', '2836373')
('3464', '2189', '4', '5644751')
('3464', '2630', '2', '3074444')
('5639', '2907', '10', '428812')
('3464', '2630', '8', '3497220')
('3464', '2630', '4', '73514')
('5639', '8209', '5', '1202920')
('3464', '2850', '10', '7125950')
('3464', '2630', '1', '2646997')
('5639', '5345', '6', '4616949')
('3464', '2189', '8', '5070377')
('5639', '5345', '3', '8266430')
('3464', '2850', '5', '1813664')
('3464', '2630', '6', '8148218')
('5639', '8209', '2', '2334559')
('3464', '2189', '3', '6371478')
('3464', '2189', '3', '8558840')
('5639', '5345', '2', '1850366')
('5639', '2907', '5', '858464')
('5639', '5345', '5', '3023360')
('5639', '8209', '8', '5489593')
('5639', '8209', '5', '9255238')
('5639', '5345', '5', '4735371')
('5639', '5345', '10', '1435465')
('5639', '2907', '10', '6162239')
('3464', '2189', '2', '5073383')
('5639', '2907', '7', '7551887')
('5639', '8209', '5', '9899308')
('3464', '2189', '3', '6888143')
('3464', '2850', '9', '2080142')
('3464', '2189', '5', '2513348')
('5639', '5345', '7', '6196732')
('5639', '8209', '8', '7959582')
('5639', '2907', '1', '7291627')
('3464', '2189', '1', '7142160')
('5639', '5345', '5', '122894')
('3464', '2850', '10', '7979510')
('5639', '2907', '7', '7499114')
('5639', '5345', '3', '1666959')
('5639', '5345', '9', '8561428')
('3464', '2630', '2', '178896')
('3464', '2630', '6', '6347409')
('5639', '8209', '10', '5720508')
('3464', '2850', '10', '2992297')
('5639', '8209', '2', '5016449')
('5639', '2907', '3', '5315726')
('3464', '2850', '1', '5297066')
('5639', '5345', '8', '3850792')
('3464', '2630', '6', '750860')
('3464', '2850', '8', '5701636')
('5639', '2907', '10', '1947428')
('3464', '2850', '8', '6231378')
('3464', '2850', '5', '9842781')
('5639', '5345', '3', '1530182')
('5639', '5345', '2', '6089024')
('3464', '2850', '10', '2616512')
('5639', '5345', '1', '9229250')
('3464', '2189', '4', '4778833')
('5639', '2907', '6', '1018728')
('5639', '5345', '1', '7276031')
('3464', '2630', '5', '901794')
('5639', '2907', '8', '2505693')
('3464', '2189', '6', '1785905')
('5639', '8209', '2', '225525')
('5639', '2907', '3', '9233426')
('3464', '2630', '2', '8279253')
('5639', '5345', '9', '4973449')
('3464', '2630', '6', '342796')
('5639', '5345', '1', '615727')
('5639', '5345', '4', '1738054')
('3464', '2189', '10', '8188968')
('5639', '5345', '4', '4170609')
('5639', '5345', '7', '7386629')
('3464', '2850', '7', '7785231')
('5639', '2907', '8', '3846474')
('5639', '5345', '2', '8706058')
('5639', '2907', '10', '8494101')
('3464', '2630', '5', '3582622')
('3464', '2189', '9', '1070452')
('5639', '2907', '9', '1298415')
('3464', '2189', '3', '6946702')
('5639', '2907', '8', '2687071')
('3464', '2189', '2', '3898722')
('5639', '8209', '2', '8374204')
('5639', '8209', '10', '965054')
('5639', '8209', '5', '2799912')
('3464', '2189', '4', '5401303')
('5639', '8209', '10', '2173754')
('5639', '2907', '10', '2252465')
('5639', '8209', '9', '3039885')
('3464', '2630', '7', '844924')
('5639', '2907', '5', '8537223')
('5639', '8209', '9', '5480003')
('5639', '2907', '10', '8751981')
('3464', '2850', '5', '6249298')
('5639', '5345', '9', '5432110')
('3464', '2630', '9', '7302906')
('5639', '8209', '9', '4967546')
('3464', '2630', '7', '1461668')
('3464', '2189', '5', '9444456')
('5639', '5345', '6', '8937338')
('5639', '2907', '10', '4377322')
('3464', '2189', '9', '8105845')
('5639', '2907', '10', '7691749')
('5639', '5345', '1', '2361371')
('5639', '8209', '9', '4121716')
('3464', '2630', '8', '4563716')
('3464', '2189', '5', '6265685')
('5639', '5345', '7', '2644815')
('5639', '2907', '7', '7765829')
('3464', '2189', '3', '3520106')
('3464', '2630', '10', '1079799')
('3464', '2189', '2', '6980139')
('5639', '8209', '2', '1117234')
('5639', '8209', '2', '7455545')
('5639', '8209', '1', '3637115')
('3464', '2850', '2', '8568143')
('5639', '8209', '3', '5401091')
('3464', '2630', '2', '5049990')
('3464', '2850', '2', '7556231')
('3464', '2189', '8', '519930')
('5639', '8209', '5', '4518049')
('5639', '2907', '4', '6665632')
('3464', '2630', '4', '2459073')
('3464', '2850', '5', '3135727')
('3464', '2630', '10', '3656137')
('5639', '2907', '1', '1124608')
('3464', '2189', '1', '129117')
('3464', '2850', '10', '5321423')
('3464', '2850', '2', '5468786')
('5639', '8209', '8', '689911')
('3464', '2189', '5', '117741')
('5639', '5345', '1', '9747895')
('5639', '5345', '5', '3785253')
('3464', '2189', '7', '1740203')
('3464', '2850', '2', '7184160')
('5639', '2907', '1', '631591')
('3464', '2630', '8', '9587768')
('3464', '2630', '4', '928366')
('3464', '2630', '3', '4982528')
('3464', '2850', '7', '6757063')
('3464', '2630', '8', '1060613')
('3464', '2189', '9', '4681267')
('3464', '2189', '1', '249713')
('3464', '2850', '9', '3291407')
('5639', '5345', '4', '2043250')
('3464', '2630', '2', '2968150')
('3464', '2850', '3', '9525914')
('5639', '2907', '3', '6501195')
('5639', '5345', '4', '9905923')
('3464', '2630', '7', '2446890')
('5639', '8209', '8', '3626088')
('5639', '8209', '2', '9752752')
('5639', '8209', '1', '3816432')
('5639', '8209', '1', '6511519')
('5639', '8209', '4', '1713315')
('5639', '5345', '4', '6223017')
('5639', '8209', '7', '9498416')
('3464', '2189', '5', '2939714')
('3464', '2850', '2', '5161699')
('3464', '2630', '4', '9312177')
('5639', '2907', '3', '175188')
('5639', '8209', '8', '4697908')
('5639', '2907', '1', '131601')
('3464', '2189', '5', '6921219')
('5639', '5345', '10', '8463630')
('5639', '5345', '7', '9403876')
('3464', '2189', '7', '6262340')
('5639', '8209', '8', '3743050')
('3464', '2850', '1', '4010156')
('5639', '2907', '4', '6753399')
('3464', '2189', '3', '755648')
('5639', '8209', '7', '5529839')
('3464', '2630', '10', '5823602')
('3464', '2189', '10', '8603866')
('5639', '8209', '8', '4880003')
('3464', '2189', '10', '5835822')
('3464', '2850', '8', '60161')
('3464', '2630', '4', '2760099')
('5639', '2907', '6', '7497257')
('5639', '5345', '7', '1337574')
('5639', '2907', '2', '8376947')
('3464', '2189', '2', '9591161')
('5639', '2907', '6', '4350257')
('5639', '8209', '1', '2857343')
('5639', '2907', '7', '5836819')
('3464', '2850', '3', '2742844')
('5639', '5345', '8', '2222005')
('3464', '2850', '2', '2915382')
('3464', '2189', '4', '6925524')
('5639', '5345', '4', '8382757')
('3464', '2189', '8', '6103133')
('3464', '2189', '4', '4178495')
('5639', '2907', '3', '780331')
('5639', '2907', '7', '3976232')
('3464', '2630', '8', '6321973')
('3464', '2850', '7', '5555810')
('5639', '2907', '1', '832495')
('3464', '2189', '5', '1725583')
('5639', '5345', '7', '7505942')
('3464', '2189', '5', '8061343')
('5639', '2907', '6', '2993903')
('3464', '2189', '10', '5249743')
('5639', '8209', '2', '7937667')
('5639', '2907', '1', '4574062')
('3464', '2189', '10', '1581227')
('3464', '2850', '10', '5772842')
('5639', '2907', '2', '2869607')
('5639', '5345', '8', '2925058')
('5639', '8209', '6', '110073')
('5639', '2907', '9', '7211587')
('3464', '2189', '5', '1495329')
('3464', '2850', '2', '7326726')
('3464', '2630', '6', '5009522')
('5639', '2907', '2', '9100049')
('3464', '2189', '1', '3983355')
('3464', '2189', '3', '1666745')
('3464', '2850', '1', '5189028')
('5639', '2907', '8', '304882')
('5639', '2907', '8', '4457006')
('5639', '5345', '7', '3957079')
('5639', '2907', '6', '3440815')
('3464', '2189', '1', '8536926')
('5639', '5345', '10', '7637120')
('5639', '2907', '10', '7097281')
('5639', '2907', '5', '7499288')
('3464', '2850', '6', '3772114')
('5639', '8209', '2', '8294531')
('3464', '2189', '10', '4763256')
('5639', '8209', '10', '4176027')
('5639', '2907', '4', '7561761')
('3464', '2630', '1', '6590440')
('5639', '2907', '9', '6814424')
('5639', '5345', '2', '6814940')
('5639', '5345', '3', '8684774')
('5639', '5345', '5', '9929058')
('3464', '2630', '4', '4462281')
('5639', '2907', '2', '4298370')
('3464', '2630', '7', '8054831')
('3464', '2850', '1', '457362')
('3464', '2189', '10', '3072969')
('5639', '8209', '4', '3510899')
('5639', '2907', '6', '7632185')
('3464', '2850', '4', '7970678')
('3464', '2630', '7', '7787684')
('5639', '2907', '8', '8593104')
('3464', '2630', '2', '2335743')
('3464', '2189', '6', '1365186')
('3464', '2630', '6', '7970771')
('5639', '8209', '2', '3183362')
('5639', '8209', '3', '7265658')
('5639', '8209', '9', '7239051')
('3464', '2189', '4', '704896')
('5639', '2907', '6', '5059928')
('3464', '2189', '7', '9142229')
('5639', '8209', '8', '3639851')
('3464', '2189', '10', '2213000')
('3464', '2630', '3', '1281581')
('5639', '5345', '1', '5191086')
('5639', '2907', '4', '754708')
('3464', '2850', '4', '6018415')
('5639', '2907', '8', '9639780')
('3464', '2189', '3', '6832196')
('3464', '2630', '7', '9535328')
('3464', '2850', '5', '600047')
('3464', '2189', '4', '7124398')
('5639', '5345', '5', '1952491')
('3464', '2630', '8', '986724')
('3464', '2189', '8', '8925377')
('5639', '8209', '10', '7034075')
('3464', '2630', '4', '7272531')
('5639', '8209', '1', '4960363')
('3464', '2630', '4', '5752684')
('3464', '2850', '4', '7141727')
('3464', '2850', '3', '4532559')
('3464', '2630', '8', '4714895')
('5639', '8209', '2', '7882393')
('5639', '5345', '4', '2080969')
('3464', '2630', '9', '2552236')
('5639', '5345', '10', '3686970')
('3464', '2189', '3', '8542554')
('3464', '2630', '9', '6304936')
