('5155', '8081', '7', '9780680')
('5155', '1645', '7', '5873802')
('4835', '4479', '4', '823706')
('5155', '1645', '10', '3414412')
('4835', '986', '1', '8993258')
('4835', '986', '7', '556718')
('5155', '8081', '8', '718200')
('5155', '8081', '6', '3111799')
('4835', '642', '10', '2413774')
('5155', '8081', '8', '8732597')
('5155', '1645', '1', '1694447')
('4835', '4479', '10', '2001026')
('5155', '1645', '3', '2319871')
('5155', '8081', '10', '4165100')
('4835', '986', '5', '4054549')
('5155', '8081', '5', '7265637')
('5155', '1645', '4', '5737738')
('5155', '1645', '8', '3427368')
('5155', '8048', '7', '9709829')
('5155', '8048', '7', '4113202')
('4835', '642', '2', '6753469')
('5155', '8081', '1', '1472825')
('4835', '642', '9', '9692159')
('4835', '986', '1', '7830236')
('4835', '642', '8', '9444529')
('5155', '8048', '7', '8820066')
('4835', '986', '3', '2520162')
('5155', '8081', '6', '9679498')
('5155', '8081', '1', '8746242')
('5155', '8081', '3', '109564')
('5155', '8081', '5', '2833186')
('4835', '4479', '5', '1585366')
('4835', '4479', '1', '1045671')
('4835', '4479', '6', '5978364')
('5155', '8048', '6', '3981664')
('4835', '4479', '2', '8549534')
('5155', '8081', '9', '180019')
('5155', '8081', '4', '2515582')
('5155', '8048', '1', '4794721')
('5155', '8081', '7', '2343662')
('4835', '642', '8', '4845658')
('5155', '8081', '3', '4511202')
('4835', '986', '4', '4918175')
('5155', '8048', '4', '5088462')
('5155', '1645', '1', '9664154')
('4835', '642', '4', '8524002')
('5155', '1645', '4', '8916021')
('5155', '1645', '2', '200437')
('5155', '8081', '9', '1732578')
('4835', '986', '3', '6383235')
('5155', '1645', '9', '2911163')
('4835', '4479', '6', '4062676')
('5155', '1645', '5', '8274076')
('4835', '4479', '2', '6237386')
('5155', '8048', '10', '2563264')
('5155', '8081', '2', '560737')
('4835', '642', '10', '3348325')
('4835', '642', '8', '1167680')
('4835', '642', '2', '1040578')
('5155', '8081', '6', '8411059')
('5155', '8081', '5', '4060120')
('5155', '8081', '7', '5212559')
('5155', '8081', '8', '3661883')
('5155', '1645', '1', '10070')
('5155', '1645', '5', '809326')
('5155', '8081', '7', '1662735')
('5155', '8081', '4', '8487797')
('4835', '986', '1', '9871655')
('4835', '4479', '3', '2273141')
('5155', '8048', '2', '3280983')
('5155', '1645', '2', '120475')
('4835', '642', '4', '9925779')
('5155', '8048', '10', '6666503')
('4835', '4479', '7', '4037234')
('5155', '8048', '5', '7485909')
('4835', '4479', '8', '6455990')
('4835', '986', '9', '9288580')
('4835', '986', '7', '6246233')
('4835', '642', '2', '9432814')
('5155', '8048', '10', '1415201')
('4835', '4479', '6', '2287412')
('5155', '8048', '4', '8568756')
('5155', '8081', '3', '7233061')
('4835', '986', '7', '9643140')
('4835', '986', '9', '2222030')
('4835', '642', '4', '7326376')
('4835', '642', '7', '5402135')
('4835', '642', '4', '8742365')
('5155', '1645', '2', '8974131')
('5155', '1645', '10', '5051990')
('4835', '986', '3', '7784767')
('4835', '4479', '7', '8999955')
('5155', '8048', '4', '2755830')
('5155', '8048', '1', '268389')
('4835', '4479', '10', '9862742')
('5155', '8081', '9', '4568757')
('5155', '1645', '10', '239692')
('5155', '8081', '9', '211036')
('4835', '4479', '7', '2229419')
('4835', '4479', '8', '5526774')
('4835', '4479', '10', '4013590')
('4835', '642', '3', '5543262')
('4835', '986', '8', '8532978')
('4835', '986', '3', '3727617')
('4835', '986', '2', '3939497')
('5155', '8048', '10', '9076391')
('4835', '642', '6', '2951278')
('5155', '8081', '4', '5545469')
('4835', '642', '8', '2744439')
('5155', '8048', '3', '2990656')
('4835', '642', '6', '7089095')
('4835', '986', '5', '5671585')
('4835', '986', '9', '3434961')
('5155', '8048', '10', '9777223')
('4835', '4479', '4', '1850474')
('5155', '8048', '9', '7453348')
('5155', '8081', '3', '7052360')
('4835', '642', '1', '5124526')
('5155', '8048', '10', '5797655')
('5155', '8048', '5', '7327367')
('5155', '8081', '5', '9804778')
('4835', '4479', '5', '7700402')
('4835', '642', '1', '7570750')
('5155', '8048', '7', '6849336')
('5155', '1645', '8', '1058113')
('5155', '8081', '4', '6440618')
('4835', '4479', '5', '9821410')
('4835', '986', '1', '5763757')
('5155', '8081', '4', '1741106')
('5155', '1645', '2', '3565278')
('4835', '4479', '6', '1600718')
('5155', '1645', '10', '9794197')
('4835', '986', '3', '4391965')
('4835', '642', '4', '2611624')
('4835', '642', '7', '8234922')
('4835', '642', '7', '9304518')
('4835', '642', '6', '9310905')
('5155', '1645', '10', '8415374')
('5155', '8048', '1', '4024774')
('4835', '986', '9', '2756328')
('4835', '642', '6', '2015671')
('4835', '986', '7', '9702478')
('4835', '986', '10', '9617854')
('4835', '4479', '3', '3452854')
('4835', '4479', '5', '2407025')
('5155', '8081', '10', '6927522')
('5155', '8081', '10', '9494452')
('4835', '986', '5', '394408')
('4835', '642', '2', '4548778')
('4835', '986', '7', '8008698')
('4835', '4479', '7', '5190560')
('4835', '4479', '8', '5641995')
('5155', '1645', '7', '4746129')
('5155', '8048', '3', '3765268')
('5155', '8048', '6', '4015724')
('5155', '8048', '8', '641787')
('4835', '986', '3', '1891502')
('5155', '8048', '3', '8093427')
('5155', '1645', '8', '5557213')
('4835', '642', '2', '1892732')
('5155', '1645', '6', '6648659')
('5155', '8048', '6', '2548275')
('5155', '8048', '5', '930322')
('5155', '8081', '1', '6179872')
('5155', '1645', '8', '1896582')
('4835', '642', '7', '1509103')
('5155', '8048', '6', '7510353')
('4835', '642', '2', '6968480')
('4835', '642', '3', '9440463')
('4835', '642', '4', '9515561')
('5155', '8048', '8', '624440')
('5155', '1645', '10', '3863738')
('5155', '8048', '6', '1795136')
('5155', '8081', '3', '2031509')
('4835', '4479', '2', '171388')
('5155', '8048', '4', '7929590')
('4835', '4479', '8', '5906194')
('5155', '8081', '9', '7810000')
('5155', '8048', '3', '3505789')
('5155', '8048', '3', '7663981')
('5155', '8081', '9', '8143399')
('5155', '8048', '1', '7114709')
('4835', '642', '3', '3693980')
('4835', '986', '2', '2536061')
('4835', '986', '8', '8028919')
('5155', '8048', '6', '8876662')
('4835', '642', '2', '233049')
('4835', '986', '3', '7356503')
('4835', '986', '4', '3394950')
('4835', '4479', '9', '3571084')
('4835', '986', '5', '653688')
('4835', '986', '2', '5286537')
('4835', '4479', '8', '6448894')
('5155', '1645', '10', '7814669')
('4835', '642', '4', '6145236')
('5155', '8081', '8', '79572')
('5155', '1645', '5', '4077097')
('5155', '8048', '1', '7916235')
('4835', '986', '2', '9711808')
('4835', '642', '3', '8103480')
('4835', '642', '5', '4800895')
('4835', '4479', '4', '6802290')
('4835', '4479', '1', '1774296')
('4835', '642', '4', '4502534')
('4835', '642', '1', '459498')
('4835', '642', '2', '1176909')
('4835', '642', '3', '5412856')
('5155', '8048', '4', '6698323')
('4835', '4479', '8', '8709242')
('5155', '8081', '1', '1562564')
('4835', '642', '8', '26445')
('5155', '1645', '5', '4934366')
('4835', '986', '1', '1015231')
('4835', '4479', '6', '7487447')
('4835', '986', '1', '7452325')
('5155', '1645', '8', '3190973')
('4835', '986', '1', '7126509')
('4835', '4479', '1', '5950252')
('5155', '8081', '7', '7050153')
('4835', '986', '6', '6133258')
('5155', '8048', '4', '4641911')
('4835', '986', '1', '688792')
('4835', '986', '1', '3366703')
('5155', '1645', '5', '3652150')
('4835', '4479', '5', '2853083')
('4835', '642', '3', '6763169')
('4835', '986', '5', '7758282')
('4835', '986', '10', '4760188')
('4835', '4479', '6', '8523817')
('4835', '642', '6', '3718958')
('4835', '642', '2', '8231525')
('5155', '8081', '4', '6517802')
('5155', '1645', '3', '1589212')
('4835', '4479', '8', '7579851')
('5155', '8081', '9', '7559880')
('4835', '4479', '5', '7865131')
('5155', '1645', '9', '4243753')
('4835', '642', '7', '516054')
('4835', '4479', '10', '5668226')
('4835', '986', '8', '1876980')
('4835', '642', '6', '5169168')
('4835', '4479', '8', '9731010')
('5155', '8048', '9', '6143237')
('4835', '642', '1', '4252504')
('4835', '642', '10', '8551347')
('4835', '642', '3', '9315068')
('5155', '8048', '10', '4372133')
('5155', '1645', '9', '9449260')
('5155', '8048', '5', '8201196')
('5155', '8048', '2', '7863617')
('4835', '986', '7', '5418240')
('5155', '8081', '10', '1235673')
('4835', '4479', '7', '221054')
('5155', '8048', '4', '6282394')
('5155', '8048', '6', '6528636')
('4835', '4479', '6', '7613528')
('5155', '8081', '7', '6699739')
('5155', '8081', '7', '4557421')
('4835', '4479', '9', '8545069')
('5155', '1645', '6', '2581514')
('5155', '8048', '10', '915853')
('5155', '8081', '7', '5965246')
('5155', '8081', '6', '4060949')
('4835', '4479', '8', '717280')
('4835', '642', '7', '4018452')
('4835', '642', '10', '8995903')
('4835', '642', '8', '2297842')
('5155', '1645', '7', '2020906')
('4835', '986', '10', '2014187')
('5155', '8081', '3', '9130531')
('5155', '1645', '7', '892186')
('4835', '986', '1', '7170095')
('5155', '8048', '6', '1430048')
('4835', '4479', '8', '6008378')
('4835', '642', '5', '2586555')
('4835', '4479', '5', '9832529')
('5155', '8048', '1', '7500713')
('4835', '642', '4', '2786144')
('4835', '4479', '9', '665941')
('5155', '8048', '1', '2387499')
('4835', '642', '6', '1462080')
('5155', '1645', '2', '6959963')
('4835', '4479', '10', '6279207')
('4835', '986', '10', '8847605')
('5155', '8081', '3', '930207')
('4835', '642', '2', '5576453')
('4835', '986', '9', '7468987')
('5155', '8081', '8', '6692399')
('5155', '8081', '9', '1072334')
('5155', '8081', '9', '7128466')
('4835', '4479', '1', '5502752')
('4835', '642', '1', '2870325')
('4835', '4479', '8', '7593583')
('4835', '4479', '6', '1978853')
('4835', '642', '6', '2159378')
('5155', '8081', '8', '3372385')
('5155', '8081', '9', '2546295')
('5155', '1645', '4', '8951527')
('5155', '1645', '6', '6267239')
('4835', '986', '3', '9989118')
('5155', '8048', '5', '7525392')
('4835', '642', '7', '9826174')
('5155', '1645', '4', '1424204')
('5155', '8081', '10', '4117683')
('4835', '642', '10', '4509207')
('4835', '642', '10', '1711291')
('4835', '642', '8', '6747062')
('4835', '4479', '1', '4640946')
('4835', '4479', '6', '407281')
('4835', '642', '7', '4134062')
('4835', '642', '1', '8872696')
('4835', '642', '4', '6206966')
('5155', '1645', '9', '430243')
('4835', '986', '2', '6102013')
('5155', '8081', '4', '9793868')
('5155', '8048', '4', '8448120')
('4835', '4479', '4', '8016292')
('4835', '4479', '6', '1802588')
('5155', '1645', '10', '3903045')
('5155', '1645', '5', '1930451')
('4835', '642', '5', '1151944')
('4835', '4479', '10', '4508720')
('4835', '4479', '10', '6393416')
('4835', '986', '8', '8580127')
('4835', '642', '1', '244287')
('4835', '4479', '5', '4755751')
('4835', '986', '5', '99071')
('4835', '986', '7', '6981385')
('5155', '1645', '9', '1096833')
('5155', '1645', '6', '3721335')
('4835', '642', '7', '2998454')
('4835', '642', '10', '3822809')
('4835', '4479', '8', '5442790')
('4835', '642', '1', '3116865')
('5155', '8048', '2', '5695476')
('5155', '8081', '1', '5786318')
('4835', '4479', '1', '5834494')
('5155', '1645', '10', '8484134')
('5155', '1645', '4', '7998837')
('5155', '1645', '3', '302566')
('5155', '1645', '9', '3073811')
('4835', '4479', '3', '3565150')
('5155', '1645', '4', '6688457')
('4835', '986', '8', '7278402')
('5155', '1645', '6', '9804108')
('4835', '986', '4', '5308601')
('4835', '986', '10', '2748704')
('5155', '8048', '8', '3854371')
('4835', '986', '1', '3379496')
('4835', '986', '6', '3661115')
('4835', '4479', '5', '970042')
('4835', '4479', '6', '1960837')
('4835', '986', '3', '247444')
('4835', '4479', '10', '2883743')
('5155', '8081', '5', '6840637')
('5155', '1645', '9', '4042517')
('5155', '8081', '8', '8119131')
('4835', '986', '8', '5094173')
('5155', '8081', '9', '6214773')
('4835', '986', '5', '3813233')
('5155', '8048', '3', '337839')
('4835', '642', '1', '8234178')
('4835', '4479', '5', '9035121')
('4835', '642', '1', '1579149')
('5155', '1645', '6', '9475300')
('4835', '642', '3', '6958770')
('5155', '1645', '7', '7428036')
('5155', '8081', '6', '3883528')
('4835', '4479', '9', '3827841')
('5155', '8048', '4', '11960')
('4835', '642', '1', '6937013')
('4835', '642', '1', '3496256')
('4835', '986', '5', '559312')
('5155', '8081', '9', '8590677')
('4835', '642', '10', '4217892')
('4835', '986', '6', '8124584')
('4835', '986', '4', '2657296')
('4835', '4479', '5', '1971014')
('5155', '1645', '8', '3741370')
('4835', '642', '4', '5825109')
('5155', '1645', '3', '6824076')
('5155', '8048', '4', '3640170')
('5155', '8048', '4', '2142777')
('5155', '1645', '1', '6330770')
('4835', '986', '8', '530348')
('5155', '1645', '8', '574682')
('5155', '1645', '3', '9910643')
('4835', '642', '9', '8776025')
('5155', '1645', '7', '8222271')
('5155', '8081', '9', '1208829')
('4835', '986', '2', '5528492')
('5155', '8081', '4', '5223221')
('5155', '8048', '1', '9432652')
('4835', '986', '3', '4640790')
('4835', '4479', '4', '8282780')
('4835', '4479', '9', '5639861')
('5155', '1645', '8', '4441873')
('4835', '642', '10', '6115899')
('4835', '4479', '1', '2969989')
('5155', '8048', '10', '3767575')
('4835', '986', '2', '4545968')
('5155', '1645', '10', '7795449')
('5155', '1645', '10', '4499141')
('5155', '1645', '4', '1999815')
('5155', '8081', '10', '473782')
('4835', '986', '2', '6300880')
('4835', '4479', '2', '6178564')
('4835', '642', '3', '892656')
('5155', '8048', '6', '9524867')
('4835', '642', '4', '9338791')
('5155', '8048', '5', '7957826')
('5155', '1645', '8', '2010136')
('4835', '642', '5', '3115392')
('4835', '4479', '8', '8943113')
('4835', '4479', '5', '4764405')
('4835', '986', '1', '2400183')
('5155', '8048', '3', '6049968')
('4835', '986', '7', '1750222')
('4835', '642', '8', '2864205')
('4835', '986', '1', '8093311')
('4835', '986', '1', '8193043')
('4835', '4479', '1', '4018908')
('4835', '4479', '7', '6092662')
('4835', '642', '6', '2263396')
('5155', '8081', '4', '839648')
('4835', '986', '7', '7799268')
('4835', '642', '1', '7340641')
('5155', '1645', '1', '7215264')
('5155', '8081', '3', '7272150')
('5155', '1645', '6', '8674747')
('5155', '1645', '2', '9649706')
('5155', '1645', '2', '8536518')
('4835', '4479', '10', '7027377')
('5155', '8048', '2', '1519593')
('5155', '8081', '4', '5065275')
('4835', '642', '6', '4032855')
('4835', '4479', '10', '7834933')
('4835', '642', '1', '6851488')
('4835', '986', '5', '2880368')
('5155', '8081', '8', '7104295')
('5155', '8081', '9', '4015316')
('4835', '642', '9', '745662')
('4835', '986', '1', '1171275')
('4835', '986', '10', '7367972')
('5155', '8081', '6', '5583281')
('4835', '986', '5', '2413328')
('4835', '986', '9', '5749033')
('4835', '642', '4', '1967088')
('5155', '8081', '10', '2517474')
('4835', '642', '4', '9802493')
('4835', '986', '8', '3246332')
('5155', '8081', '10', '9824584')
('4835', '986', '6', '9180278')
('4835', '986', '10', '4978010')
('5155', '8048', '4', '8643013')
('4835', '642', '6', '6648585')
('5155', '8081', '8', '1691982')
('4835', '986', '4', '1657588')
('5155', '8048', '4', '5739521')
('5155', '1645', '5', '3975835')
('5155', '8048', '5', '5229427')
('5155', '1645', '1', '620371')
('5155', '8048', '5', '8539746')
('4835', '986', '9', '5982767')
('5155', '8081', '8', '3721530')
('5155', '1645', '8', '3677116')
('4835', '4479', '1', '3968372')
('5155', '1645', '3', '7610182')
('5155', '8081', '5', '643652')
('5155', '8048', '3', '5849744')
('4835', '986', '5', '5294595')
('4835', '642', '8', '3495656')
('4835', '4479', '7', '6495188')
('4835', '986', '1', '3965462')
('5155', '8048', '4', '5094260')
('4835', '642', '6', '6056904')
('5155', '8048', '3', '3514232')
('4835', '642', '4', '2740107')
('5155', '1645', '3', '5026118')
('5155', '8081', '3', '867356')
('5155', '8081', '3', '5914171')
('5155', '1645', '2', '5040403')
('4835', '642', '10', '116648')
('4835', '986', '7', '490271')
('5155', '1645', '2', '2735279')
('5155', '8081', '9', '7801417')
('5155', '8048', '10', '6867364')
('4835', '4479', '6', '6292735')
('5155', '8081', '1', '543688')
('5155', '1645', '6', '181780')
('5155', '1645', '6', '9801481')
('4835', '642', '9', '3389415')
('4835', '986', '1', '2110492')
('4835', '986', '5', '5416436')
('5155', '1645', '4', '3094873')
('5155', '8081', '5', '9083517')
('5155', '1645', '7', '9691290')
('5155', '1645', '1', '8686984')
('5155', '8081', '4', '8362559')
('4835', '642', '8', '7829688')
('5155', '1645', '10', '1621146')
('4835', '642', '5', '7214869')
('4835', '642', '1', '5252837')
('5155', '1645', '3', '9020613')
('4835', '986', '3', '3695308')
('5155', '8048', '10', '8071177')
('4835', '642', '9', '9489604')
('5155', '8081', '7', '6876133')
('5155', '1645', '9', '8053769')
('4835', '986', '8', '3188664')
('5155', '1645', '5', '2660726')
('4835', '642', '3', '9259236')
('4835', '4479', '8', '8599994')
('4835', '4479', '3', '7827550')
('4835', '986', '9', '6747251')
('4835', '642', '10', '9154965')
('4835', '986', '5', '6294604')
('4835', '4479', '2', '4397177')
('4835', '4479', '7', '4442427')
('5155', '8081', '5', '8259299')
('5155', '1645', '3', '1477801')
('4835', '642', '8', '9435671')
('4835', '642', '2', '9863454')
('4835', '642', '1', '5638213')
('5155', '1645', '7', '1930877')
('5155', '1645', '3', '9016942')
('5155', '8081', '8', '4208571')
('4835', '986', '6', '8397538')
('5155', '1645', '8', '3968363')
('5155', '1645', '7', '3692378')
('4835', '4479', '5', '2221578')
('4835', '986', '8', '6568030')
('4835', '642', '2', '1737216')
('4835', '4479', '2', '1795690')
('5155', '1645', '9', '3112625')
('4835', '986', '6', '440446')
('5155', '1645', '3', '9196663')
('4835', '4479', '2', '8667066')
('4835', '986', '1', '3209850')
('4835', '986', '4', '6790214')
('4835', '642', '2', '6724317')
('4835', '642', '4', '9009909')
('4835', '4479', '9', '1571645')
('4835', '642', '1', '570032')
('5155', '8048', '9', '8516640')
('5155', '8081', '9', '7935156')
('5155', '8048', '10', '8443128')
('5155', '1645', '10', '5054724')
('4835', '986', '4', '219990')
('4835', '986', '2', '2650259')
('4835', '986', '4', '2560880')
('5155', '1645', '4', '3356695')
('4835', '4479', '2', '8411444')
('4835', '642', '2', '6859838')
('4835', '4479', '7', '5669958')
('5155', '1645', '9', '6212955')
('4835', '986', '8', '4081067')
('5155', '8081', '1', '2444870')
('4835', '642', '3', '3291405')
('5155', '1645', '1', '9331793')
('4835', '986', '3', '941878')
('4835', '4479', '9', '599235')
('5155', '8081', '3', '8579378')
('4835', '4479', '5', '6612730')
('4835', '4479', '9', '8087453')
('5155', '1645', '9', '7482962')
('5155', '8081', '2', '296048')
('4835', '4479', '4', '7870146')
('4835', '986', '1', '3474210')
('4835', '986', '4', '4068643')
('5155', '8048', '6', '6140093')
('5155', '8048', '5', '5998933')
('4835', '4479', '7', '1586133')
('4835', '986', '3', '7561056')
('5155', '1645', '5', '132943')
('4835', '642', '2', '6295611')
('4835', '986', '3', '2373713')
('5155', '8048', '7', '8805802')
('4835', '642', '7', '8089961')
('5155', '8048', '5', '8913321')
('4835', '986', '3', '2913205')
('4835', '4479', '8', '3321683')
('4835', '986', '5', '9558974')
('4835', '642', '10', '6649239')
('5155', '8081', '1', '5217920')
('4835', '4479', '7', '5807215')
('5155', '8048', '9', '4717596')
('5155', '8048', '7', '2856836')
('5155', '8048', '10', '4909962')
('5155', '8048', '4', '5476024')
('4835', '986', '2', '3781705')
('5155', '8048', '6', '7817099')
('5155', '1645', '7', '2618835')
('5155', '8081', '5', '375179')
('5155', '8048', '10', '713101')
('5155', '8048', '9', '7813367')
('4835', '642', '5', '8211732')
('4835', '986', '4', '7467640')
('5155', '8048', '3', '2597882')
('4835', '986', '2', '9881266')
('4835', '986', '5', '876363')
('4835', '4479', '3', '6000343')
('4835', '4479', '6', '8240451')
('5155', '8081', '3', '3272353')
('4835', '986', '5', '1968156')
('5155', '8081', '2', '5935908')
('4835', '4479', '4', '2690583')
('4835', '986', '1', '4749567')
('4835', '642', '7', '829388')
('5155', '8048', '3', '4220987')
('4835', '642', '8', '5855655')
('4835', '4479', '1', '1491429')
('4835', '4479', '8', '4590495')
('5155', '8081', '8', '1256573')
('5155', '8048', '2', '2243992')
('5155', '8048', '9', '8949577')
('5155', '8048', '1', '8273662')
('4835', '642', '10', '9745298')
('5155', '8048', '2', '4386523')
('4835', '986', '6', '8161466')
('5155', '8048', '3', '4017877')
('4835', '642', '6', '5694604')
('4835', '986', '6', '6780760')
('5155', '1645', '5', '130929')
('4835', '642', '1', '8154425')
('4835', '642', '6', '8797279')
('4835', '986', '3', '3640437')
('4835', '4479', '4', '4475396')
('5155', '8048', '9', '9563637')
('5155', '8048', '7', '8828741')
('5155', '1645', '3', '6786258')
('5155', '8048', '3', '1067382')
('4835', '986', '6', '2179403')
('5155', '1645', '8', '1504336')
('4835', '986', '9', '1911659')
('5155', '1645', '9', '9977963')
('4835', '986', '10', '4402417')
('5155', '8081', '3', '4804478')
('4835', '642', '8', '9029477')
('4835', '4479', '10', '7650138')
('4835', '4479', '9', '1198917')
('5155', '1645', '1', '9844582')
('4835', '642', '4', '4702393')
('5155', '1645', '1', '7584917')
('4835', '4479', '10', '7145623')
('5155', '8081', '3', '5383412')
('4835', '986', '7', '8058880')
('4835', '986', '8', '9094691')
('4835', '642', '1', '1974643')
('4835', '642', '7', '9369869')
('5155', '8081', '3', '8852124')
('4835', '986', '10', '2518262')
('5155', '8048', '2', '1482838')
('4835', '4479', '3', '1901645')
('4835', '986', '1', '4899307')
('4835', '642', '3', '3091049')
('5155', '8081', '6', '5434247')
('4835', '4479', '6', '2759220')
('5155', '8048', '10', '508216')
('4835', '4479', '3', '4051252')
('5155', '8081', '4', '4800230')
('4835', '986', '6', '3810257')
('5155', '8081', '2', '2830099')
('4835', '986', '1', '8914873')
('4835', '986', '1', '8585445')
('5155', '1645', '4', '7903035')
('4835', '642', '1', '748668')
('5155', '8048', '3', '3711223')
('4835', '986', '6', '4709866')
('4835', '642', '5', '8849201')
('4835', '642', '1', '4005172')
('4835', '986', '8', '7168064')
('4835', '642', '9', '9927757')
('4835', '4479', '6', '7209557')
('4835', '986', '7', '9190871')
('5155', '8081', '5', '1853529')
('4835', '642', '10', '1836655')
('4835', '986', '6', '6755361')
('5155', '8081', '3', '728801')
('5155', '8048', '8', '2190185')
('5155', '8081', '6', '5062248')
('4835', '4479', '2', '5171439')
('5155', '8048', '8', '6921993')
('4835', '642', '9', '2577062')
('4835', '642', '5', '7724219')
('5155', '8081', '4', '8330761')
('4835', '4479', '9', '6015426')
('4835', '986', '7', '8928296')
('4835', '642', '3', '9222754')
('4835', '642', '6', '3900535')
('4835', '642', '9', '3123951')
('4835', '642', '9', '5720598')
('5155', '1645', '3', '9444151')
('5155', '8048', '9', '4775782')
('4835', '642', '7', '9050969')
('5155', '1645', '10', '4804732')
('4835', '986', '9', '6111516')
('5155', '1645', '8', '3185650')
('4835', '4479', '3', '9983793')
('5155', '8081', '7', '4197442')
('4835', '4479', '8', '1921312')
('4835', '4479', '4', '1788059')
('4835', '986', '5', '2356587')
('4835', '4479', '2', '7466192')
('5155', '1645', '2', '1645849')
('5155', '8081', '6', '1660856')
('5155', '8048', '6', '7356920')
('4835', '642', '1', '2421667')
('5155', '1645', '1', '7843851')
('4835', '986', '2', '1122689')
('4835', '4479', '2', '2185460')
('4835', '4479', '4', '8845224')
('5155', '8048', '10', '7645765')
('5155', '8048', '1', '5973650')
('5155', '8081', '2', '3492842')
('5155', '8048', '7', '3935315')
('5155', '1645', '3', '7652645')
('5155', '8048', '9', '7043847')
('5155', '1645', '10', '7295997')
('5155', '8081', '8', '7052890')
('5155', '8081', '3', '5139015')
('4835', '4479', '5', '4121485')
('4835', '642', '9', '7039569')
('5155', '8081', '5', '1393417')
('5155', '1645', '9', '8347620')
('5155', '8081', '4', '2211866')
('4835', '4479', '7', '3695283')
('5155', '8081', '2', '8147791')
('5155', '8048', '6', '129831')
('4835', '986', '8', '5688363')
('5155', '1645', '8', '4995494')
('4835', '642', '8', '8027496')
('4835', '642', '7', '1702585')
('5155', '1645', '5', '7258871')
('4835', '4479', '3', '7022099')
('4835', '986', '10', '7528296')
('4835', '642', '10', '4900292')
('4835', '642', '1', '334574')
('4835', '4479', '9', '9200480')
('4835', '986', '8', '9054410')
('5155', '8048', '3', '2373560')
('4835', '986', '7', '8657124')
('4835', '986', '7', '6195732')
